system:index,NDVI,.geo
0,0.030924789753280016,"{""type"":""Polygon"",""coordinates"":[[[34.50000000000001,15.999999999999975],[34.833333333333336,15.999999999999975],[34.833333333333336,16.26089538347197],[34.50000000000001,16.26089538347197],[34.50000000000001,15.999999999999975]]]}"
1,0.027135316923138256,"{""type"":""Polygon"",""coordinates"":[[[34.833333333333336,15.999999999999975],[35.16666666666667,15.999999999999975],[35.16666666666667,16.26089538347197],[34.833333333333336,16.26089538347197],[34.833333333333336,15.999999999999975]]]}"
2,0.032769021082219,"{""type"":""Polygon"",""coordinates"":[[[35.16666666666667,15.999999999999975],[35.5,15.999999999999975],[35.50000000000001,16.26089538347197],[35.16666666666667,16.26089538347197],[35.16666666666667,15.999999999999975]]]}"
3,0.039325960176689344,"{""type"":""Polygon"",""coordinates"":[[[35.5,15.999999999999975],[35.833333333333336,15.999999999999975],[35.83333333333333,16.26089538347197],[35.50000000000001,16.26089538347197],[35.5,15.999999999999975]]]}"
4,0.07062110851412748,"{""type"":""Polygon"",""coordinates"":[[[35.833333333333336,15.999999999999975],[36.166666666666664,15.999999999999975],[36.166666666666664,16.26089538347197],[35.83333333333333,16.26089538347197],[35.833333333333336,15.999999999999975]]]}"
5,0.08298528436601213,"{""type"":""Polygon"",""coordinates"":[[[36.166666666666664,15.999999999999975],[36.5,15.999999999999975],[36.5,16.26089538347197],[36.166666666666664,16.26089538347197],[36.166666666666664,15.999999999999975]]]}"
6,0.044885027712944864,"{""type"":""Polygon"",""coordinates"":[[[36.5,15.999999999999975],[36.833333333333336,15.999999999999975],[36.83333333333333,16.26089538347197],[36.5,16.26089538347197],[36.5,15.999999999999975]]]}"
7,0.04182369340952992,"{""type"":""Polygon"",""coordinates"":[[[36.833333333333336,15.999999999999975],[37.166666666666664,15.999999999999975],[37.166666666666664,16.26089538347197],[36.83333333333333,16.26089538347197],[36.833333333333336,15.999999999999975]]]}"
8,0.04114302275598382,"{""type"":""Polygon"",""coordinates"":[[[37.166666666666664,15.999999999999975],[37.50000000000001,15.999999999999975],[37.5,16.26089538347197],[37.166666666666664,16.26089538347197],[37.166666666666664,15.999999999999975]]]}"
9,0.0468632500853957,"{""type"":""Polygon"",""coordinates"":[[[37.50000000000001,15.999999999999975],[37.833333333333336,15.999999999999975],[37.833333333333336,16.26089538347197],[37.5,16.26089538347197],[37.50000000000001,15.999999999999975]]]}"
10,0.1104985176473545,"{""type"":""Polygon"",""coordinates"":[[[37.833333333333336,15.999999999999975],[38.16666666666667,15.999999999999975],[38.16666666666667,16.26089538347197],[37.833333333333336,16.26089538347197],[37.833333333333336,15.999999999999975]]]}"
11,0.09168722912089534,"{""type"":""Polygon"",""coordinates"":[[[38.16666666666667,15.999999999999975],[38.5,15.999999999999975],[38.5,16.26089538347197],[38.16666666666667,16.26089538347197],[38.16666666666667,15.999999999999975]]]}"
12,0.06163653270613945,"{""type"":""Polygon"",""coordinates"":[[[38.5,15.999999999999975],[38.83333333333334,15.999999999999975],[38.83333333333334,16.26089538347197],[38.5,16.26089538347197],[38.5,15.999999999999975]]]}"
13,0.01689772710830785,"{""type"":""Polygon"",""coordinates"":[[[38.83333333333334,15.999999999999975],[39.16666666666667,15.999999999999975],[39.16666666666668,16.26089538347197],[38.83333333333334,16.26089538347197],[38.83333333333334,15.999999999999975]]]}"
14,-0.03982963281001267,"{""type"":""Polygon"",""coordinates"":[[[39.16666666666667,15.999999999999975],[39.50000000000001,15.999999999999975],[39.50000000000001,16.26089538347197],[39.16666666666668,16.26089538347197],[39.16666666666667,15.999999999999975]]]}"
15,-0.049062593003902616,"{""type"":""Polygon"",""coordinates"":[[[39.50000000000001,15.999999999999975],[39.833333333333336,15.999999999999975],[39.833333333333336,16.26089538347197],[39.50000000000001,16.26089538347197],[39.50000000000001,15.999999999999975]]]}"
16,-0.05843158179156948,"{""type"":""Polygon"",""coordinates"":[[[39.833333333333336,15.999999999999975],[40.16666666666667,15.999999999999975],[40.16666666666667,16.26089538347197],[39.833333333333336,16.26089538347197],[39.833333333333336,15.999999999999975]]]}"
17,-0.06294239159322929,"{""type"":""Polygon"",""coordinates"":[[[40.16666666666667,15.999999999999975],[40.5,15.999999999999975],[40.5,16.26089538347197],[40.16666666666667,16.26089538347197],[40.16666666666667,15.999999999999975]]]}"
18,-0.05574054852955181,"{""type"":""Polygon"",""coordinates"":[[[40.5,15.999999999999975],[40.83333333333334,15.999999999999975],[40.833333333333336,16.26089538347197],[40.5,16.26089538347197],[40.5,15.999999999999975]]]}"
19,-0.0527161574494823,"{""type"":""Polygon"",""coordinates"":[[[40.83333333333334,15.999999999999975],[41.16666666666667,15.999999999999975],[41.16666666666667,16.26089538347197],[40.833333333333336,16.26089538347197],[40.83333333333334,15.999999999999975]]]}"
20,-0.05085688866297517,"{""type"":""Polygon"",""coordinates"":[[[41.16666666666667,15.999999999999975],[41.5,15.999999999999975],[41.5,16.26089538347197],[41.16666666666667,16.26089538347197],[41.16666666666667,15.999999999999975]]]}"
21,-0.04931489112078926,"{""type"":""Polygon"",""coordinates"":[[[41.5,15.999999999999975],[41.833333333333336,15.999999999999975],[41.833333333333336,16.26089538347197],[41.5,16.26089538347197],[41.5,15.999999999999975]]]}"
22,-0.047871508327094324,"{""type"":""Polygon"",""coordinates"":[[[41.833333333333336,15.999999999999975],[42.16666666666667,15.999999999999975],[42.166666666666664,16.26089538347197],[41.833333333333336,16.26089538347197],[41.833333333333336,15.999999999999975]]]}"
23,-0.05321060999512133,"{""type"":""Polygon"",""coordinates"":[[[42.16666666666667,15.999999999999975],[42.5,15.999999999999975],[42.5,16.26089538347197],[42.166666666666664,16.26089538347197],[42.16666666666667,15.999999999999975]]]}"
24,-0.060968198569531215,"{""type"":""Polygon"",""coordinates"":[[[42.5,15.999999999999975],[42.833333333333336,15.999999999999975],[42.833333333333336,16.26089538347197],[42.5,16.26089538347197],[42.5,15.999999999999975]]]}"
25,0.04524171722385203,"{""type"":""Polygon"",""coordinates"":[[[42.833333333333336,15.999999999999975],[43.16666666666667,15.999999999999975],[43.16666666666667,16.26089538347197],[42.833333333333336,16.26089538347197],[42.833333333333336,15.999999999999975]]]}"
26,0.08455189950095857,"{""type"":""Polygon"",""coordinates"":[[[43.16666666666667,15.999999999999975],[43.5,15.999999999999975],[43.5,16.26089538347197],[43.16666666666667,16.26089538347197],[43.16666666666667,15.999999999999975]]]}"
27,0.06879481755573207,"{""type"":""Polygon"",""coordinates"":[[[43.5,15.999999999999975],[43.833333333333336,15.999999999999975],[43.833333333333336,16.26089538347197],[43.5,16.26089538347197],[43.5,15.999999999999975]]]}"
28,0.09006587576377677,"{""type"":""Polygon"",""coordinates"":[[[43.833333333333336,15.999999999999975],[44.166666666666664,15.999999999999975],[44.16666666666667,16.26089538347197],[43.833333333333336,16.26089538347197],[43.833333333333336,15.999999999999975]]]}"
29,0.06319288075036275,"{""type"":""Polygon"",""coordinates"":[[[44.166666666666664,15.999999999999975],[44.5,15.999999999999975],[44.5,16.26089538347197],[44.16666666666667,16.26089538347197],[44.166666666666664,15.999999999999975]]]}"
30,0.0707264620123946,"{""type"":""Polygon"",""coordinates"":[[[44.5,15.999999999999975],[44.833333333333336,15.999999999999975],[44.833333333333336,16.26089538347197],[44.5,16.26089538347197],[44.5,15.999999999999975]]]}"
